Date,Applications,Visitors
05/08/2016,0,1
06/08/2016,0,0
07/08/2016,0,0
08/08/2016,0,4
09/08/2016,0,2
10/08/2016,0,4
11/08/2016,0,2
12/08/2016,0,1
13/08/2016,0,0
14/08/2016,0,0
15/08/2016,0,3
16/08/2016,0,1
17/08/2016,0,0
18/08/2016,0,2
19/08/2016,0,7
20/08/2016,0,0
21/08/2016,0,0
22/08/2016,1,8
23/08/2016,0,2
24/08/2016,0,3
25/08/2016,0,3
26/08/2016,0,20
27/08/2016,0,0
28/08/2016,0,1
29/08/2016,0,8
30/08/2016,0,6
31/08/2016,0,0
01/09/2016,0,4
02/09/2016,0,0
03/09/2016,0,1
04/09/2016,0,0
05/09/2016,1,11
06/09/2016,0,1
07/09/2016,1,6
08/09/2016,0,1
09/09/2016,2,4
10/09/2016,0,0
11/09/2016,0,8
12/09/2016,0,1
13/09/2016,0,5
14/09/2016,2,15
15/09/2016,0,10
16/09/2016,1,5
17/09/2016,0,0
18/09/2016,0,0
19/09/2016,0,0
20/09/2016,1,1
21/09/2016,0,2
22/09/2016,0,0
23/09/2016,0,2
24/09/2016,0,0
25/09/2016,1,1
26/09/2016,0,2
27/09/2016,0,6
28/09/2016,0,2
29/09/2016,0,2
30/09/2016,0,0
01/10/2016,0,0
02/10/2016,1,3
03/10/2016,0,1
04/10/2016,0,1
05/10/2016,1,3
06/10/2016,1,3
07/10/2016,1,4
08/10/2016,0,0
09/10/2016,0,0
10/10/2016,0,3
11/10/2016,0,3
12/10/2016,0,3
13/10/2016,1,4
14/10/2016,0,2
15/10/2016,0,0
16/10/2016,0,0
17/10/2016,0,1
18/10/2016,0,1
19/10/2016,1,1
20/10/2016,0,2
21/10/2016,0,3
22/10/2016,0,0
23/10/2016,0,3
24/10/2016,0,3
25/10/2016,0,0
26/10/2016,0,0
27/10/2016,0,3
28/10/2016,0,0
29/10/2016,0,0
30/10/2016,0,1
31/10/2016,1,3
01/11/2016,0,3
02/11/2016,1,0
03/11/2016,1,2
04/11/2016,0,2
05/11/2016,0,0
06/11/2016,0,2
07/11/2016,1,2
08/11/2016,0,1
09/11/2016,10,28
10/11/2016,1,5
11/11/2016,0,1
12/11/2016,0,0
13/11/2016,0,0
14/11/2016,0,0
15/11/2016,1,2
16/11/2016,1,2
17/11/2016,1,2
18/11/2016,1,5
19/11/2016,0,0
20/11/2016,0,0
21/11/2016,0,0
22/11/2016,0,3
23/11/2016,1,5
24/11/2016,2,3
25/11/2016,0,2
26/11/2016,0,1
27/11/2016,0,0
28/11/2016,1,5
29/11/2016,0,4
30/11/2016,0,2
01/12/2016,0,3
02/12/2016,0,2
03/12/2016,0,2
04/12/2016,0,0
05/12/2016,1,4
06/12/2016,0,3
07/12/2016,0,2
08/12/2016,1,1
09/12/2016,0,1
10/12/2016,0,2
11/12/2016,0,0
12/12/2016,0,1
13/12/2016,0,0
14/12/2016,0,0
15/12/2016,2,4
16/12/2016,1,1
17/12/2016,0,0
18/12/2016,0,0
19/12/2016,0,0
20/12/2016,0,1
21/12/2016,0,2
22/12/2016,1,0
23/12/2016,1,4
24/12/2016,0,0
25/12/2016,0,1
26/12/2016,0,0
27/12/2016,0,0
28/12/2016,0,0
29/12/2016,0,0
30/12/2016,0,0
31/12/2016,0,3
01/01/2017,0,0
02/01/2017,0,0
03/01/2017,0,2
04/01/2017,0,0
05/01/2017,0,0
06/01/2017,1,4
07/01/2017,0,0
08/01/2017,0,0
09/01/2017,0,0
10/01/2017,0,0
11/01/2017,0,1
12/01/2017,0,3
13/01/2017,0,2
14/01/2017,0,1
15/01/2017,0,0
16/01/2017,0,0
17/01/2017,0,0
18/01/2017,0,0
19/01/2017,1,3
20/01/2017,0,1
21/01/2017,0,0
22/01/2017,0,0
23/01/2017,1,4
24/01/2017,0,10
25/01/2017,0,2
26/01/2017,0,3
27/01/2017,1,5
28/01/2017,0,1
29/01/2017,0,1
30/01/2017,0,0
31/01/2017,1,6
01/02/2017,0,3
02/02/2017,0,3
03/02/2017,2,3
04/02/2017,0,0
05/02/2017,0,1
06/02/2017,1,2
07/02/2017,1,8
08/02/2017,1,5
09/02/2017,1,6
10/02/2017,0,4
11/02/2017,0,0
12/02/2017,0,2
13/02/2017,0,5
14/02/2017,1,4
15/02/2017,2,11
16/02/2017,0,15
17/02/2017,1,4
18/02/2017,0,2
19/02/2017,0,1
20/02/2017,2,6
21/02/2017,1,7
22/02/2017,0,4
23/02/2017,1,7
24/02/2017,1,3
25/02/2017,0,2
26/02/2017,0,0
27/02/2017,1,8
28/02/2017,0,0
01/03/2017,0,4
02/03/2017,0,5
03/03/2017,0,0
04/03/2017,0,3
05/03/2017,0,0
06/03/2017,0,3
07/03/2017,0,5
08/03/2017,1,6
09/03/2017,0,5
10/03/2017,0,1
11/03/2017,0,1
12/03/2017,0,2
13/03/2017,0,0
